id,city,date,team1,team2,toss_winner,toss_decision,winner,player_of_match,venue
216,Hyderabad,05-03-2011,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,Kolkata Knight Riders,YK Pathan,"Rajiv Gandhi International Stadium, Uppal"
217,Chennai,05-04-2011,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,MEK Hussey,"MA Chidambaram Stadium, Chepauk"
218,Mumbai,05-04-2011,Mumbai Indians,Pune Warriors,Pune Warriors,field,Mumbai Indians,R Sharma,Dr DY Patil Sports Academy
219,Kochi,05-05-2011,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,Kochi Tuskers Kerala,BJ Hodge,Nehru Stadium
220,Hyderabad,05-05-2011,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,V Sehwag,"Rajiv Gandhi International Stadium, Uppal"
221,Bangalore,05-06-2011,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,CH Gayle,M Chinnaswamy Stadium
222,Kolkata,05-07-2011,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,Iqbal Abdulla,Eden Gardens
223,Mumbai,05-07-2011,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,AT Rayudu,Wankhede Stadium
224,Bangalore,05-08-2011,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,Royal Challengers Bangalore,CH Gayle,M Chinnaswamy Stadium
225,Chandigarh,05-08-2011,Kings XI Punjab,Pune Warriors,Kings XI Punjab,bat,Pune Warriors,R Sharma,"Punjab Cricket Association Stadium, Mohali"
226,Jaipur,05-09-2011,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,M Vijay,Sawai Mansingh Stadium
227,Hyderabad,05-10-2011,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,Pune Warriors,MR Marsh,"Rajiv Gandhi International Stadium, Uppal"
228,Chandigarh,05-10-2011,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,BA Bhatt,"Punjab Cricket Association Stadium, Mohali"
229,Jaipur,05-11-2011,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,S Aravind,Sawai Mansingh Stadium
230,Chennai,05-12-2011,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,MS Dhoni,"MA Chidambaram Stadium, Chepauk"
231,Indore,5/13/2011,Kochi Tuskers Kerala,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,KD Karthik,Holkar Cricket Stadium
232,Bangalore,5/14/2011,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,CH Gayle,M Chinnaswamy Stadium
233,Mumbai,5/14/2011,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Deccan Chargers,A Mishra,Wankhede Stadium
234,Dharamsala,5/15/2011,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Kings XI Punjab,PP Chawla,Himachal Pradesh Cricket Association Stadium
235,Indore,5/15/2011,Rajasthan Royals,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Kochi Tuskers Kerala,BJ Hodge,Holkar Cricket Stadium
236,Mumbai,5/16/2011,Pune Warriors,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,A Mishra,Dr DY Patil Sports Academy
237,Dharamsala,5/17/2011,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Kings XI Punjab,AC Gilchrist,Himachal Pradesh Cricket Association Stadium
238,Chennai,5/18/2011,Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings,bat,Chennai Super Kings,WP Saha,"MA Chidambaram Stadium, Chepauk"
239,Mumbai,5/19/2011,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,YK Pathan,Dr DY Patil Sports Academy
240,Mumbai,5/20/2011,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,SR Watson,Wankhede Stadium
241,Dharamsala,5/21/2011,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Deccan Chargers,S Dhawan,Himachal Pradesh Cricket Association Stadium
242,Delhi,5/21/2011,Delhi Daredevils,Pune Warriors,Delhi Daredevils,bat,Delhi Daredevils,A Chandila,Feroz Shah Kotla
243,Bangalore,5/22/2011,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,CH Gayle,M Chinnaswamy Stadium
244,Kolkata,5/22/2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,JEC Franklin,Eden Gardens
245,Mumbai,5/24/2011,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,SK Raina,Wankhede Stadium
246,Mumbai,5/25/2011,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,MM Patel,Wankhede Stadium
247,Chennai,5/27/2011,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,CH Gayle,"MA Chidambaram Stadium, Chepauk"
248,Chennai,5/28/2011,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,M Vijay,"MA Chidambaram Stadium, Chepauk"
249,Chennai,04-04-2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,RE Levi,"MA Chidambaram Stadium, Chepauk"
250,Kolkata,04-05-2012,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,IK Pathan,Eden Gardens
251,Mumbai,04-06-2012,Pune Warriors,Mumbai Indians,Mumbai Indians,field,Pune Warriors,SPD Smith,Wankhede Stadium
252,Jaipur,04-06-2012,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals,AM Rahane,Sawai Mansingh Stadium
253,Bangalore,04-07-2012,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore,AB de Villiers,M Chinnaswamy Stadium
254,Visakhapatnam,04-07-2012,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Chennai Super Kings,RA Jadeja,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
255,Jaipur,04-08-2012,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,BJ Hodge,Sawai Mansingh Stadium
256,Pune,04-08-2012,Pune Warriors,Kings XI Punjab,Pune Warriors,bat,Pune Warriors,MN Samuels,Subrata Roy Sahara Stadium
257,Visakhapatnam,04-09-2012,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,Mumbai Indians,RG Sharma,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
258,Bangalore,04-10-2012,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,L Balaji,M Chinnaswamy Stadium
259,Delhi,04-10-2012,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,M Morkel,Feroz Shah Kotla
260,Mumbai,04-11-2012,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Mumbai Indians,KA Pollard,Wankhede Stadium
261,Chennai,04-12-2012,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,Chennai Super Kings,F du Plessis,"MA Chidambaram Stadium, Chepauk"
262,Chandigarh,04-12-2012,Pune Warriors,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,AD Mascarenhas,"Punjab Cricket Association Stadium, Mohali"
263,Kolkata,4/13/2012,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Kolkata Knight Riders,Shakib Al Hasan,Eden Gardens
264,Delhi,4/19/2012,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils,KP Pietersen,Feroz Shah Kotla
265,Pune,4/14/2012,Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,Pune Warriors,JD Ryder,Subrata Roy Sahara Stadium
266,Kolkata,4/15/2012,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab,SP Narine,Eden Gardens
267,Bangalore,4/15/2012,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,Rajasthan Royals,AM Rahane,M Chinnaswamy Stadium
268,Mumbai,4/16/2012,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,S Nadeem,Wankhede Stadium
269,Jaipur,4/17/2012,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals,BJ Hodge,Sawai Mansingh Stadium
270,Bangalore,4/17/2012,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,bat,Royal Challengers Bangalore,CH Gayle,M Chinnaswamy Stadium
271,Chandigarh,4/18/2012,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders,G Gambhir,"Punjab Cricket Association Stadium, Mohali"
272,Hyderabad,05-10-2012,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Delhi Daredevils,DA Warner,"Rajiv Gandhi International Stadium, Uppal"
273,Chennai,4/19/2012,Chennai Super Kings,Pune Warriors,Pune Warriors,field,Chennai Super Kings,KMDN Kulasekara,"MA Chidambaram Stadium, Chepauk"
274,Chandigarh,4/20/2012,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,CH Gayle,"Punjab Cricket Association Stadium, Mohali"
275,Chennai,4/21/2012,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,F du Plessis,"MA Chidambaram Stadium, Chepauk"
276,Delhi,4/21/2012,Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,Pune Warriors,SC Ganguly,Feroz Shah Kotla
277,Mumbai,4/22/2012,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,SE Marsh,Wankhede Stadium
278,Cuttack,4/22/2012,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,B Lee,Barabati Stadium
279,Jaipur,4/23/2012,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bangalore,AB de Villiers,Sawai Mansingh Stadium
280,Pune,4/24/2012,Pune Warriors,Delhi Daredevils,Pune Warriors,bat,Delhi Daredevils,V Sehwag,Subrata Roy Sahara Stadium
281,Chandigarh,4/25/2012,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,bat,Mumbai Indians,AT Rayudu,"Punjab Cricket Association Stadium, Mohali"
282,Pune,4/26/2012,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,Deccan Chargers,CL White,Subrata Roy Sahara Stadium
283,Delhi,4/27/2012,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,Delhi Daredevils,V Sehwag,Feroz Shah Kotla
284,Chennai,4/28/2012,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Kings XI Punjab,Mandeep Singh,"MA Chidambaram Stadium, Chepauk"
285,Kolkata,4/28/2012,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,Kolkata Knight Riders,G Gambhir,Eden Gardens
286,Delhi,4/29/2012,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Delhi Daredevils,V Sehwag,Feroz Shah Kotla
287,Mumbai,4/29/2012,Deccan Chargers,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,DW Steyn,Wankhede Stadium
288,Chennai,4/30/2012,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,G Gambhir,"MA Chidambaram Stadium, Chepauk"
289,Cuttack,05-01-2012,Deccan Chargers,Pune Warriors,Deccan Chargers,bat,Deccan Chargers,KC Sangakkara,Barabati Stadium
290,Jaipur,05-01-2012,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Delhi Daredevils,P Negi,Sawai Mansingh Stadium
291,Bangalore,05-02-2012,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,Azhar Mahmood,M Chinnaswamy Stadium
292,Pune,05-03-2012,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,Mumbai Indians,SL Malinga,Subrata Roy Sahara Stadium
293,Chennai,05-04-2012,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,SK Raina,"MA Chidambaram Stadium, Chepauk"
294,Kolkata,05-05-2012,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,Kolkata Knight Riders,SP Narine,Eden Gardens
295,Chandigarh,05-05-2012,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat,Rajasthan Royals,SR Watson,"Punjab Cricket Association Stadium, Mohali"
296,Mumbai,05-06-2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,DR Smith,Wankhede Stadium
297,Bangalore,05-06-2012,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,AB de Villiers,M Chinnaswamy Stadium
298,Delhi,05-07-2012,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,JH Kallis,Feroz Shah Kotla
299,Pune,05-08-2012,Pune Warriors,Rajasthan Royals,Pune Warriors,bat,Rajasthan Royals,SR Watson,Subrata Roy Sahara Stadium
300,Hyderabad,05-08-2012,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,Kings XI Punjab,Mandeep Singh,"Rajiv Gandhi International Stadium, Uppal"
301,Mumbai,05-09-2012,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,CH Gayle,Wankhede Stadium
302,Jaipur,05-10-2012,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,BW Hilfenhaus,Sawai Mansingh Stadium
303,Pune,05-11-2012,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,Royal Challengers Bangalore,CH Gayle,Subrata Roy Sahara Stadium
304,Kolkata,05-12-2012,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,RG Sharma,Eden Gardens
305,Chennai,05-12-2012,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,BW Hilfenhaus,"MA Chidambaram Stadium, Chepauk"
306,Jaipur,5/13/2012,Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,Rajasthan Royals,A Chandila,Sawai Mansingh Stadium
307,Chandigarh,5/13/2012,Deccan Chargers,Kings XI Punjab,Deccan Chargers,bat,Kings XI Punjab,DJ Hussey,"Punjab Cricket Association Stadium, Mohali"
308,Bangalore,5/14/2012,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,AT Rayudu,M Chinnaswamy Stadium
309,Kolkata,5/14/2012,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,MEK Hussey,Eden Gardens
310,Delhi,5/15/2012,Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,bat,Delhi Daredevils,UT Yadav,Feroz Shah Kotla
311,Mumbai,5/16/2012,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,SP Narine,Wankhede Stadium
312,Dharamsala,5/17/2012,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,AC Gilchrist,Himachal Pradesh Cricket Association Stadium
313,Delhi,5/17/2012,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore,CH Gayle,Feroz Shah Kotla
314,Hyderabad,5/18/2012,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,bat,Deccan Chargers,DW Steyn,"Rajiv Gandhi International Stadium, Uppal"
315,Dharamsala,5/19/2012,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,UT Yadav,Himachal Pradesh Cricket Association Stadium
316,Pune,5/19/2012,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,Kolkata Knight Riders,Shakib Al Hasan,Subrata Roy Sahara Stadium
317,Hyderabad,5/20/2012,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Deccan Chargers,DW Steyn,"Rajiv Gandhi International Stadium, Uppal"
318,Jaipur,5/20/2012,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,DR Smith,Sawai Mansingh Stadium
319,Pune,5/22/2012,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Kolkata Knight Riders,YK Pathan,Subrata Roy Sahara Stadium
320,Bangalore,5/23/2012,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,MS Dhoni,M Chinnaswamy Stadium
321,Chennai,5/25/2012,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings,M Vijay,"MA Chidambaram Stadium, Chepauk"
322,Chennai,5/27/2012,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,MS Bisla,"MA Chidambaram Stadium, Chepauk"
323,Kolkata,04-03-2013,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,SP Narine,Eden Gardens
324,Bangalore,04-04-2013,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bangalore,CH Gayle,M Chinnaswamy Stadium
325,Hyderabad,04-05-2013,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,Sunrisers Hyderabad,A Mishra,"Rajiv Gandhi International Stadium, Uppal"
326,Delhi,04-06-2013,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,Rajasthan Royals,R Dravid,Feroz Shah Kotla
327,Chennai,04-06-2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,KA Pollard,"MA Chidambaram Stadium, Chepauk"
328,Pune,04-07-2013,Pune Warriors,Kings XI Punjab,Pune Warriors,bat,Kings XI Punjab,M Vohra,Subrata Roy Sahara Stadium
329,Hyderabad,04-07-2013,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Sunrisers Hyderabad,GH Vihari,"Rajiv Gandhi International Stadium, Uppal"
330,Jaipur,04-08-2013,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Rajasthan Royals,SK Trivedi,Sawai Mansingh Stadium
331,Mumbai,04-09-2013,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Mumbai Indians,KD Karthik,Wankhede Stadium
332,Chandigarh,04-10-2013,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,MEK Hussey,"Punjab Cricket Association Stadium, Mohali"
333,Bangalore,04-11-2013,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,CH Gayle,M Chinnaswamy Stadium
334,Pune,04-11-2013,Rajasthan Royals,Pune Warriors,Rajasthan Royals,bat,Pune Warriors,AJ Finch,Subrata Roy Sahara Stadium
335,Delhi,04-12-2013,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad,A Mishra,Feroz Shah Kotla
336,Mumbai,4/13/2013,Mumbai Indians,Pune Warriors,Mumbai Indians,bat,Mumbai Indians,RG Sharma,Wankhede Stadium
337,Chennai,4/13/2013,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,RA Jadeja,"MA Chidambaram Stadium, Chepauk"
338,Kolkata,4/14/2013,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,G Gambhir,Eden Gardens
339,Jaipur,4/14/2013,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,JP Faulkner,Sawai Mansingh Stadium
340,Chennai,4/15/2013,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,Pune Warriors,SPD Smith,"MA Chidambaram Stadium, Chepauk"
341,Chandigarh,4/16/2013,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab,MS Gony,"Punjab Cricket Association Stadium, Mohali"
342,Bangalore,4/16/2013,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,V Kohli,M Chinnaswamy Stadium
343,Pune,4/17/2013,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,field,Sunrisers Hyderabad,A Mishra,Subrata Roy Sahara Stadium
344,Jaipur,4/17/2013,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Rajasthan Royals,AM Rahane,Sawai Mansingh Stadium
345,Delhi,4/18/2013,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Chennai Super Kings,MEK Hussey,Feroz Shah Kotla
346,Hyderabad,4/19/2013,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,Sunrisers Hyderabad,GH Vihari,"Rajiv Gandhi International Stadium, Uppal"
347,Kolkata,4/20/2013,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,Chennai Super Kings,RA Jadeja,Eden Gardens
348,Bangalore,4/20/2013,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,R Vinay Kumar,M Chinnaswamy Stadium
349,Delhi,4/21/2013,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,Delhi Daredevils,V Sehwag,Feroz Shah Kotla
350,Chandigarh,4/21/2013,Pune Warriors,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,DA Miller,"Punjab Cricket Association Stadium, Mohali"
351,Chennai,4/22/2013,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,MEK Hussey,"MA Chidambaram Stadium, Chepauk"
352,Bangalore,4/23/2013,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,Royal Challengers Bangalore,CH Gayle,M Chinnaswamy Stadium
353,Dharamsala,5/16/2013,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Kings XI Punjab,DA Miller,Himachal Pradesh Cricket Association Stadium
354,Kolkata,4/24/2013,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,DR Smith,Eden Gardens
355,Chennai,4/25/2013,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,Chennai Super Kings,MS Dhoni,"MA Chidambaram Stadium, Chepauk"
356,Kolkata,4/26/2013,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders,JH Kallis,Eden Gardens
357,Jaipur,4/27/2013,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,JP Faulkner,Sawai Mansingh Stadium
358,Mumbai,4/27/2013,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Mumbai Indians,DR Smith,Wankhede Stadium
359,Chennai,4/28/2013,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,MEK Hussey,"MA Chidambaram Stadium, Chepauk"
360,Raipur,4/28/2013,Delhi Daredevils,Pune Warriors,Pune Warriors,field,Delhi Daredevils,DA Warner,Shaheed Veer Narayan Singh International Stadium
361,Jaipur,4/29/2013,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,SV Samson,Sawai Mansingh Stadium
362,Mumbai,4/29/2013,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Mumbai Indians,RG Sharma,Wankhede Stadium
363,Pune,4/30/2013,Chennai Super Kings,Pune Warriors,Chennai Super Kings,bat,Chennai Super Kings,MS Dhoni,Subrata Roy Sahara Stadium
364,Hyderabad,05-01-2013,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Sunrisers Hyderabad,I Sharma,"Rajiv Gandhi International Stadium, Uppal"
365,Raipur,05-01-2013,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,Delhi Daredevils,DA Warner,Shaheed Veer Narayan Singh International Stadium
366,Chennai,05-02-2013,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,SK Raina,"MA Chidambaram Stadium, Chepauk"
367,Pune,05-02-2013,Royal Challengers Bangalore,Pune Warriors,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,AB de Villiers,Subrata Roy Sahara Stadium
368,Kolkata,05-03-2013,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Kolkata Knight Riders,YK Pathan,Eden Gardens
369,Hyderabad,05-04-2013,Delhi Daredevils,Sunrisers Hyderabad,Delhi Daredevils,bat,Sunrisers Hyderabad,DJG Sammy,"Rajiv Gandhi International Stadium, Uppal"
370,Bangalore,5/14/2013,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,AC Gilchrist,M Chinnaswamy Stadium
371,Mumbai,05-05-2013,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,MG Johnson,Wankhede Stadium
372,Jaipur,05-05-2013,Pune Warriors,Rajasthan Royals,Pune Warriors,bat,Rajasthan Royals,AM Rahane,Sawai Mansingh Stadium
373,Bangalore,04-09-2013,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,V Kohli,M Chinnaswamy Stadium
374,Jaipur,05-07-2013,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals,AM Rahane,Sawai Mansingh Stadium
375,Mumbai,05-07-2013,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Mumbai Indians,SR Tendulkar,Wankhede Stadium
376,Hyderabad,05-08-2013,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,SK Raina,"Rajiv Gandhi International Stadium, Uppal"
377,Chandigarh,05-09-2013,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,KK Cooper,"Punjab Cricket Association Stadium, Mohali"
378,Pune,05-09-2013,Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,bat,Kolkata Knight Riders,G Gambhir,Subrata Roy Sahara Stadium
379,Delhi,05-10-2013,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Royal Challengers Bangalore,JD Unadkat,Feroz Shah Kotla
380,Pune,05-11-2013,Pune Warriors,Mumbai Indians,Pune Warriors,bat,Mumbai Indians,MG Johnson,Subrata Roy Sahara Stadium
381,Chandigarh,05-11-2013,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,PA Patel,"Punjab Cricket Association Stadium, Mohali"
382,Ranchi,05-12-2013,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,JH Kallis,JSCA International Stadium Complex
383,Jaipur,05-12-2013,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,SR Watson,Sawai Mansingh Stadium
384,Delhi,4/23/2013,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,Harmeet Singh,Feroz Shah Kotla
385,Mumbai,5/13/2013,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,KA Pollard,Wankhede Stadium
386,Ranchi,5/15/2013,Pune Warriors,Kolkata Knight Riders,Kolkata Knight Riders,field,Pune Warriors,MK Pandey,JSCA International Stadium Complex
